system:index,AREASYMBOL,FA,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,channel_1000m,channel_100m,channel_10m,channel_200m,channel_500m,channel_700m,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surf_clayD_60,surf_clayU_60,surf_clay_background,surf_claybg,surf_sandD_60,surf_sandU_60,surf_sand_background,surf_sandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo
00000000000000000122,AZ669,4716.1675200708005,,53807,30,TCD,,41.3814580505,,Berm,-130.31678058689317,-67.00910949707034,3.982675864627322,855.6482457464981,1.0,0.12879022035729226,0.011863951694984049,0.3248537299639711,0.8792944383043295,1.0,0,0.20617667836321835,0.1561639316733132,00000000000000000122,1,31.943670271329882,-111.39946648504957,107.6967106808297,856.0330200195312,875.7517979663196,0.11934093008931321,0.1587101216433326,0.11279517691717329,-0.8048745739185961,-0.9615988224110765,0.2654268419418789,0.8048745739185961,0.9615988224110765,0.8913967668517369,0.8048745739185961,0.9615988224110765,26.0,26.0,26.813995146688168,26.0,50.0,50.0,46.76206439809329,50.0,1.0,1.0,1.0,1.0,855.347646825104,855.6921498574679,"{""type"":""LineString"",""coordinates"":[[-111.39968260406124,31.943674535280365],[-111.39950933021628,31.943684037044388],[-111.39925181296988,31.94364454232226]]}"
0000000000000000013e,AZ669,3217.580749310554,,53807,30,TCD,,35.8703430997,,Berm,-67.0098392466518,-130.31628707096905,3.20813841477301,856.0490973797323,1.0,0.1245815383710942,0.01071751676296047,0.29759929584134903,0.8593021774701893,1.0,0,0.036269589338612164,-0.05177994922541698,0000000000000000013e,1,31.945956189115545,-111.39969248072667,112.3759147754152,854.7635782615931,763.4910202847312,0.13202975318381607,0.10776520941608075,0.11574631618116159,-0.8822839318380602,-0.975219432563506,0.4471842447916667,0.8822839318380602,0.975219432563506,0.6002371651785173,0.8822839318380602,0.975219432563506,26.0,26.0,27.11631725574987,26.0,49.0,49.0,46.65117887400302,49.0,1.0,1.0,1.0,1.0,854.3640471897768,854.613527550689,"{""type"":""LineString"",""coordinates"":[[-111.39988160216956,31.94596678945177],[-111.39950335932741,31.945945588499033]]}"
0000000000000000014e,AZ669,4607.905592905162,,53807,30,TCD,,69.3142573402,,Berm,89.99999999999977,-49.6673837825378,68.42019475332688,887.0515243110306,1.0,0.38537999931306227,0.04346059675274654,0.6900124139487642,0.99707462598686,1.0,0,-0.23860492612985235,-0.4276166666731409,0000000000000000014e,1,31.89247451981139,-111.40074700458415,149.7951580643198,885.306117022479,332.4983067060678,0.13460258764860022,0.13515729752537115,0.14737211187285423,-0.8675006886489882,-1.2881045671866218,0.5175515146551863,0.8675006886489882,1.2881045671866218,0.5058387093553544,0.8675006886489882,1.2881045671866218,24.026796589524977,24.0,24.95276302218523,24.0,50.97320341047503,51.0,48.15366664344154,51.0,1.0,1.0,1.0,1.0,884.5295122625298,884.8825949945125,"{""type"":""LineString"",""coordinates"":[[-111.40064626061032,31.892175514167846],[-111.40067849138589,31.89234558870137],[-111.40087977655807,31.892765916023354]]}"
00000000000000000152,AZ669,3679.6939300022673,,53807,30,TCD,,26.8167618818,,Berm,-130.33432388305664,-89.99999999999999,-28.37703727351502,887.6402088472527,1.0,0.18392004715799862,0.021824059055375995,0.25478514985378703,0.8644448340030738,1.0,0,0.14293321659240527,-0.07784264087125618,00000000000000000152,1,31.88653600332129,-111.4035382270148,105.00759320108125,887.3289794921875,18.401861577609054,0.14327929053286487,0.20975609745432436,0.13333108515557307,-0.08499425058153065,-0.674273913419654,-0.7127118215686323,0.08499425058153065,0.674273913419654,0.08890787760416667,0.08499425058153065,0.674273913419654,25.058252427184474,27.0,26.040122553079996,27.0,49.91262135922331,47.0,46.06158571588178,47.0,1.0,1.0,1.0,1.0,887.0363552879412,887.0498489030126,"{""type"":""LineString"",""coordinates"":[[-111.40366591032972,31.88649192847132],[-111.40349812936913,31.886532766034755],[-111.4034407456414,31.886613557966793]]}"
00000000000000000153,AZ669,1564.3559162697409,,53807,30,TCD,,41.5609371285,,Berm,-130.31203842163086,-130.3122100830078,-47.470168466659,845.9843040934076,1.0,0.37070941323317275,0.0401481822510148,0.5671245294241284,0.9249523526291488,1.0,0,-0.057925891143780744,-0.13929922255441995,00000000000000000153,0,31.958992386972724,-111.39181188964587,32.846288370930075,847.9091891912441,424.9744689556328,0.09251040221914006,0.12072904766850137,0.1221048380351076,-1.8606814563629541,-3.9938913562463654,0.7789642070819506,1.8606814563629541,3.9938913562463654,0.7338638274783686,1.8606814563629541,3.9938913562463654,26.0,25.108761329305146,24.993508837774584,25.785425101214578,49.0,50.782477341389736,49.416594641931646,49.42914979757086,1.0,1.0,1.0,1.0,847.3558783677502,847.7145965358641,"{""type"":""LineString"",""coordinates"":[[-111.39194783408718,31.95884418432572],[-111.3916759447658,31.95914058947487]]}"
00000000000000000154,AZ669,3928.689286985407,,53807,30,TCD,,46.5844060499,,Berm,130.3119506835938,49.687911898184666,-56.87796843055392,845.9843040934076,1.0,0.3603919339196737,0.03885600478584462,0.5339962173992204,0.8900883226134872,1.0,0,-0.18174529692553373,-0.17818798078284867,00000000000000000154,0,31.95940993041357,-111.39146697330825,29.08457727604761,847.5560302734375,405.77693395613863,0.1112759643916914,0.12463666432795428,0.12208172816147775,-2.1078218738930445,-4.066135517569251,0.07871921785654952,2.1078218738930445,4.066135517569251,1.2808835708807464,2.1078218738930445,4.066135517569251,24.594983858952073,25.0,25.052386925897476,25.0,50.33598212068539,51.0,49.43770613143961,51.0,1.0,1.0,1.0,1.0,847.261512273356,847.6207731054463,"{""type"":""LineString"",""coordinates"":[[-111.39158700852563,31.959225951014677],[-111.39134693760994,31.959593909699535]]}"
00000000000000000155,AZ669,9282.54323742114,,53807,30,TCD,,25.7130743479,,Berm,149.4877929687501,90.0,10.44410661571765,846.0100549387607,1.0,0.3407813993943484,0.036303925863629266,0.4977200124072262,0.8478867744730929,1.0,0,0.37006178475912316,0.8184540247636534,00000000000000000155,0,31.959802648535014,-111.39118498330023,27.51515620030127,847.7670288085938,393.76292521097776,0.14027646874018218,0.1740073406740074,0.12008205841919645,-1.150600693049114,-1.2062261011693636,0.5123640890648554,1.150600693049114,1.2062261011693636,0.6311761765253247,1.150600693049114,1.2062261011693636,25.0,25.0,25.13160160493859,25.0,51.0,51.0,49.486736233191024,51.0,1.0,1.0,1.0,1.0,846.7836535126086,847.2387764560831,"{""type"":""LineString"",""coordinates"":[[-111.39131640824134,31.959826874045774],[-111.39105355842848,31.95977842288887]]}"
00000000000000000194,AZ669,448.8889344262294,,53807,30,TCD,,20.8258683914,,Berm,-180.0,-49.69616699218753,-5.969880171888233,829.5525133856412,1.0,0.2692227487141706,0.021734663279393707,0.5062072944081075,0.9480279891440849,1.0,0,0.1611353327209257,0.7086056955734803,00000000000000000194,1,31.986414681432507,-111.38901745803824,42.341705075818204,830.7769775390625,181.433669938739,0.08580155497963712,0.08440733345434742,0.11802774523586725,-1.7137298583984373,-1.2641216530429915,0.10141612687050382,1.7137298583984373,1.2641216530429915,1.2563326265719372,1.7137298583984373,1.2641216530429915,21.40385084084816,22.0,23.330490221746,22.0,49.0,49.0,48.74366559710674,49.0,1.0,1.0,1.052892987177458,1.0,830.0646053406393,830.6997502644857,"{""type"":""LineString"",""coordinates"":[[-111.38912775185668,31.98640314765357],[-111.38890716419208,31.986426215116058]]}"
00000000000000000195,AZ669,756.3155677655675,,53807,30,TCD,,13.7028000001,,Berm,130.30331420898438,-49.69642639160159,-0.17581022291993612,829.7109985351564,1.0,0.276334573814676,0.022917968266615938,0.5012306721839407,0.9114134847263844,1.0,0,-2.3127943550809693,-0.09003872098373436,00000000000000000195,1,31.98736064380758,-111.38940502559252,98.4249597753728,830.0155029296875,119.90097442307356,0.14158892566957568,0.18393999790202456,0.10841940549284582,-0.729339599609375,-1.2329181195486854,-0.023396809895833336,0.729339599609375,1.2329181195486854,0.6177435980902146,0.729339599609375,1.2329181195486854,21.0,21.0,23.102792963076176,21.0,49.0,49.0,49.01787224731102,49.0,1.0,1.0,1.0115234721326196,1.0,829.4249785023597,829.839007349498,"{""type"":""LineString"",""coordinates"":[[-111.38933146412263,31.987360869508034],[-111.389478587062,31.987360418064696]]}"
00000000000000000197,AZ669,1669.6149993676484,,53744,12,TCD,,171.808425296,,Berm,-89.99999999999999,-90.0,68.23074013724235,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5754168935734592,0.23538228198871644,00000000000000000197,0,31.977404276482844,-111.48819890357281,42617.33355284266,972.0582854648808,83.0229513455817,0.16772378516624037,0.19119461165026597,0.14984548236782744,-2.1240271045137433,-1.2776797511695577,0.9600036348886457,2.1240271045137433,1.2776797511695577,1.0095161438221112,2.1240271045137433,1.2776797511695577,23.691563793545548,24.0,21.8544242414685,24.0,51.55419612440017,51.0,53.64711463655673,51.0,2.0,2.0,1.9487404241748845,2.0,970.8675355731475,971.8208277080437,"{""type"":""LineString"",""coordinates"":[[-111.48790606139154,31.976670971850133],[-111.48849175043398,31.978137580443178]]}"
00000000000000000198,AZ669,73.81542102149477,,53820,36,TCD,,37.8448323993,,Berm,-130.30713159090266,-30.516311645507784,60.10446862380381,874.6790161132812,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.11451457170702992,0.213434442983575,00000000000000000198,0,31.975259829145372,-111.41638717265951,131.67497283000242,872.6500244140625,114.65594581504648,0.10780229144967332,0.12247324613555294,0.11352013408785917,-3.3536783854166288,-3.5852314713654887,0.8299763997395833,3.3536783854166288,3.5852314713654887,1.300876821257475,3.3536783854166288,3.5852314713654887,21.0,22.212522576760982,24.46549703450406,21.0,50.0,50.606261288380495,49.60409436603462,50.0,1.0,1.0,1.0,1.0,871.5114582392717,872.7926311934808,"{""type"":""LineString"",""coordinates"":[[-111.41647454602501,31.975411803230546],[-111.41629979958336,31.975107855000335]]}"
