system:index,AREASYMBOL,FA_30_max,FA_30_mean,FA_60_max,FA_60_mean,Fail_Type,MUKEY,MUSYM,Note,Notes,Shape_Leng,Structure_,Type,aspectD_60,aspectU_60,berm_angle,berm_elev,channel_1000m,channel_100m,channel_10m,channel_200m,channel_500m,channel_700m,compare,convD_60,convU_60,id,landform,latitude,longitude,other_dist,other_elev,road_dist,saviD_60,saviU_60,savi_background,slopeD_100,slopeD_200,slopeD_60,slopeU_100,slopeU_200,slopeU_60,slope_100,slope_200,surf_clayD_60,surf_clayU_60,surf_clay_background,surf_claybg,surf_sandD_60,surf_sandU_60,surf_sand_background,surf_sandbg,surfsocD_60,surfsocU_60,surfsoc_background,surfsocbg,zD_60,zU_60,.geo,MapUnitName,SlopeClass,Landform,ParentMaterial,TypicalProfile,Texture,claytotal_r,sandtotal_r,silttotal_r,Condition,effect,effect_percent,Berm_Length_Class,Slope_Class,Soil_Development,effective,Effective,High_Clay,Intact,proximity,savi_backg,surfclayD_,surfclayU_,surfclay_b,surfclaybg,surfsandD_,surfsandU_,surfsand_b,surfsandbg,surfsocD_6,surfsocU_6,surfsoc_ba,geo,AOI,effect_per,MapUnitNam,Landform_1,ParentMate,TypicalPro,GroupedLan,GroupedPar,GroupedSoi,Berm_Lengt,Slope_Clas,Direction
00000000000000000157,AZ669,426.0,31.726010455899715,483.0,33.90153076805619,Intact,53799,29,TCD,,51.5046433885,,Berm,0.0,0.0,-72.02934312679581,796.9137729905125,0.5678166910328689,0.0,0.0,0.0,0.1685513999414406,0.3745556480118487,1,0.32862368880279,0.0203702808811276,00000000000000000157,0,32.058856997382186,-111.37859103023438,79.37753354126838,798.1149376839264,27.57739166927269,0.1350695908899198,0.0900185605279439,0.1163073770878136,-1.3314322541733643,-1.389815854000631,0.4698601391136965,1.3314322541733643,1.389815854000631,0.705695124015809,1.3314322541733643,1.389815854000631,25.0,24.636033994334273,25.199023421385764,25.0,52.0,51.81801699716713,51.116035368526134,52.0,1.0,1.0,1.0,1.0,797.2148396147466,798.1385028904757,"{""type"":""LineString"",""coordinates"":[[-111.37851833349913,32.059081124855794],[-111.3786637266134,32.0586328698671]]}","Glendale-Bucklebar complex, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,"A-C, A/Bt-Bt-Btk",Silt loam,20.0,11.4,68.6,Intact,-0.38734456480745655,-38.734456480745656,Long (> 50 m),Shallow (≤ 2%),B horizon,False,No vegetation response,False,True,Upland,0.094650415183535,25.0,24.636033994334277,24.99754966294029,25.0,52.0,51.81801699716713,50.817433813491895,52.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.37851833349913,32.059081124855794],[-111.3786637266134,32.0586328698671]]}",AOI1,-64.82651043577474,"Glendale-Bucklebar complex, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,"A-C, A/Bt-Bt-Btk",Stream terraces,Mixed alluvium,Bt and/or Bk horizon,Long (> 50 m),Shallow (≤ 2%),perpendicular
00000000000000000159,AZ669,1053.0,42.02718661059427,1085.0,55.89007896176998,Intact,53799,29,TCD,,83.6817074987,,Berm,30.53918457031247,80.3797607421875,-41.09146950123531,796.921225321539,0.8637843803549129,0.0,0.0,0.0,0.3632319711887543,0.5532804739914609,1,-0.1275101869073135,-0.0105292928046318,00000000000000000159,0,32.058695199234435,-111.37577704725736,141.41800687743518,796.223959566367,257.38929682888977,0.1190524092143648,0.0739010989010989,0.0948488132772929,-0.6163785566725437,-0.7107880575615582,0.2191450831122665,0.6163785566725437,0.7107880575615582,0.250111611264856,0.6163785566725437,0.7107880575615582,27.0,27.0,26.25814819633738,27.0,48.0,48.0,48.8032839066733,48.0,1.0,1.0,1.0,1.0,795.7856453214107,796.1346772846423,"{""type"":""LineString"",""coordinates"":[[-111.37608619785414,32.05842558985506],[-111.37546789483842,32.058964807863426]]}","Glendale-Bucklebar complex, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,"A-C, A/Bt-Bt-Btk",Silt loam,20.0,11.4,68.6,Intact,-0.4760345306721435,-47.60345306721435,Long (> 50 m),Shallow (≤ 2%),B horizon,False,No vegetation response,False,True,Upland,0.094724256496667,27.0,27.0,25.99414720800066,27.0,48.0,48.0,49.56275894548825,48.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.37608619785414,32.05842558985506],[-111.37546789483842,32.058964807863426]]}",AOI1,-39.84603307136659,"Glendale-Bucklebar complex, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,"A-C, A/Bt-Bt-Btk",Stream terraces,Mixed alluvium,Bt and/or Bk horizon,Long (> 50 m),Shallow (≤ 2%),parallel
00000000000000000162,AZ669,290.0,37.57748443872076,1564.0,78.45163019370099,Intact,53807,30,TCD,,56.2663188048,,Berm,-130.28099978833012,49.71896362304685,79.00682009796762,,1.0,0.1690109757713763,0.0190166383537547,0.3056898109661332,0.5947195816917857,0.8298020505777034,0,0.2204824253592246,-0.3949320834158263,00000000000000000162,0,32.05997446510272,-111.34333893414814,42598.50587937323,783.3585494192024,123.32916280207588,0.1411412986468058,0.1048502139800285,0.1050122160326006,-0.9455139196636536,-0.9026514834283716,-1.017705298288547,0.9455139196636536,0.9026514834283716,1.299633587657543,0.9455139196636536,0.9026514834283716,27.0,24.760745891276866,23.83280265290414,27.0,46.0,47.34355246523389,47.40800353155087,46.0,1.0,1.0,1.0,1.0,782.8321714061901,783.3949764926074,"{""type"":""LineString"",""coordinates"":[[-111.34327260733042,32.059727820983795],[-111.34337375767643,32.060058934845216],[-111.3433691180516,32.060224641329135]]}","Glendale silt loam, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,A-C,Silt loam,20.0,11.4,68.6,Intact,-0.3455891708399991,-34.558917083999916,Long (> 50 m),Shallow (≤ 2%),No B horizon,False,No vegetation response,False,True,Upland,0.110818166024833,27.0,24.760745891276866,23.71547509546151,27.0,46.0,47.34355246523389,47.64022497579696,46.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.34327260733042,32.059727820983795],[-111.34337375767643,32.060058934845216],[-111.3433691180516,32.060224641329135]]}",AOI1,-32.150819442681744,"Glendale silt loam, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,A-C,Stream terraces,Mixed alluvium,No Bt and/or Bk horizon,Long (> 50 m),Shallow (≤ 2%),perpendicular
00000000000000000166,AZ669,67.0,9.130316035895431,92.0,8.747189476559715,Intact,53799,29,TCD,,38.3333331984,,Berm,-30.53887939453122,-21.47003173828122,-74.49152903885206,796.3907627460086,0.9490297544452913,0.0,0.0,0.0165391440685698,0.6045781512730226,0.8089321060873805,1,-0.341861506698352,0.0269839639107418,00000000000000000166,0,32.057297022672586,-111.3768598322993,54.15766274826304,796.9130249023438,151.67692681838165,0.0786063110443276,0.1111486812868322,0.0927098068358157,-1.4169921875001137,-1.3791164760171457,0.3794013129337751,1.4169921875001137,1.3791164760171457,0.5749511718748105,1.4169921875001137,1.3791164760171457,27.0,27.2476401179941,25.803717165472808,27.0,49.0,48.281268436578166,49.1514116961394,49.0,1.0,1.0,1.0,1.0,796.4396126039567,797.0095343229768,"{""type"":""LineString"",""coordinates"":[[-111.37681319510514,32.05746509414775],[-111.37690646932214,32.057128951180346]]}","Glendale-Bucklebar complex, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,"A-C, A/Bt-Bt-Btk",Silt loam,20.0,11.4,68.6,Intact,0.3510132460974216,35.101324609742164,Short (≤ 50 m),Shallow (≤ 2%),B horizon,True,Vegetation response,False,True,Upland,0.092749382754266,27.0,27.2476401179941,25.654849217857667,27.0,49.0,48.281268436578166,49.63554783335103,49.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.37681319510514,32.05746509414775],[-111.37690646932214,32.057128951180346]]}",AOI1,39.67979056531506,"Glendale-Bucklebar complex, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,"A-C, A/Bt-Bt-Btk",Stream terraces,Mixed alluvium,Bt and/or Bk horizon,Short (≤ 50 m),Shallow (≤ 2%),undetermined
0000000000000000016d,AZ669,506.0,75.83703599550054,536.0,52.11786660777386,Intact,53807,30,TCD,,32.2532354825,,Berm,30.538955688476477,-130.28189010763876,-3.9666545379462055,787.4208874557563,1.0,0.5108796701237032,0.0695414219667624,0.7213644883168812,0.9453205048106962,1.0,0,-0.0471675255210091,-0.02588773810033,0000000000000000016d,0,32.057577262693194,-111.3538482025512,28.01836902755934,787.486083984375,1133.7037119642887,0.1193938249457086,0.0949661181026137,0.0991065313305302,-0.8083350337108186,-0.8098642990926237,0.0714824641001617,0.8083350337108186,0.8098642990926237,0.2648466696469616,0.8083350337108186,0.8098642990926237,29.0,24.0,22.81784217069959,29.0,46.0,47.0,49.41089473256739,46.0,1.0,1.0,1.0,1.0,786.9705673420427,787.3551187045032,"{""type"":""LineString"",""coordinates"":[[-111.3540181599922,32.05757559094779],[-111.35378151380522,32.057571773450405],[-111.35368170717886,32.05759892125938]]}","Glendale silt loam, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,A-C,Silt loam,20.0,11.4,68.6,Intact,-0.24647928360670862,-24.64792836067086,Short (≤ 50 m),Shallow (≤ 2%),No B horizon,False,No vegetation response,False,True,Upland,0.099128371558225,29.0,24.0,23.435466323747487,29.0,46.0,47.0,48.570983448884,46.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.3540181599922,32.05757559094779],[-111.35378151380522,32.057571773450405],[-111.35368170717886,32.05759892125938]]}",AOI1,-25.873883833990963,"Glendale silt loam, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,A-C,Stream terraces,Mixed alluvium,No Bt and/or Bk horizon,Short (≤ 50 m),Shallow (≤ 2%),perpendicular
0000000000000000016e,AZ669,281.0,34.611378091872794,536.0,39.34561069547125,Intact,53807,30,TCD,,32.0853235053,,Berm,2.8421709430404014e-14,49.718189303005374,-20.008950390108907,787.4808314150139,1.0,0.6180612626073966,0.0813883700659943,0.8176677873241194,0.9805366704021914,1.0,0,-0.028766710120476,-0.1330411541160146,0000000000000000016e,0,32.057816940934785,-111.3533854412007,38.157121085882736,787.1943926706188,1119.1108252957752,0.107835889854001,0.0945993491072213,0.1001528751761894,-0.6039937775101407,-0.6409164206679634,0.0534890000085397,0.6039937775101407,0.6409164206679634,0.2770711577837422,0.6039937775101407,0.6409164206679634,29.0,26.56972111553785,22.68806072552358,29.0,46.0,46.486055776892435,49.5006257089812,46.0,1.0,1.0,1.0,1.0,786.8338791554157,787.1621743907099,"{""type"":""LineString"",""coordinates"":[[-111.35354034976216,32.05776053129426],[-111.3532305324482,32.057873350386906]]}","Glendale silt loam, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,A-C,Silt loam,20.0,11.4,68.6,Intact,-0.13216336249452565,-13.216336249452565,Short (≤ 50 m),Shallow (≤ 2%),No B horizon,False,No vegetation response,False,True,Upland,0.100094159031696,29.0,26.56972111553785,23.3734032877013,29.0,46.0,46.48605577689244,48.61501497165938,46.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.35354034976216,32.05776053129426],[-111.3532305324482,32.057873350386906]]}",AOI1,-9.386444175734427,"Glendale silt loam, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,A-C,Stream terraces,Mixed alluvium,No Bt and/or Bk horizon,Short (≤ 50 m),Shallow (≤ 2%),perpendicular
00000000000000000170,AZ669,37.0,3.221395125465242,3509.0,181.3658828218414,Intact,53844,5,TCD,,45.6729273196,,Berm,130.2837415922067,-30.537277221679716,-51.962446744064245,791.3222370042658,1.0,0.3000457381108892,0.0310019332372808,0.5465652021766273,0.8586565530476289,1.0,1,0.1955808386843067,-2.7019508655724547,00000000000000000170,0,32.05141230274501,-111.35447028926686,197.67992660582777,790.4921875,705.53973709455,0.1063808169071326,0.1075697211155378,0.1020269022642949,-2.310133689289273,-0.1688103613915359,0.6386797248863255,2.310133689289273,0.1688103613915359,-4.076137814983743,2.310133689289273,0.1688103613915359,22.394201424211605,28.0,23.32521270936103,26.748313090418357,48.19760935910479,45.0,47.14780381268899,45.53643724696356,1.0,1.0,1.0,1.0,789.7612782949016,790.0544226715949,"{""type"":""LineString"",""coordinates"":[[-111.3546037137589,32.05124175731721],[-111.3543368642775,32.05158284803306]]}",,,Flood plains,,A/C-C,Loamy sand,7.5,83.5,9.0,Intact,0.011652850199503378,1.1652850199503377,Short (≤ 50 m),Steep (> 2%),No B horizon,False,No vegetation response,False,True,Upland,0.104995892215284,22.394201424211605,28.0,23.5092097584162,26.74831309041836,48.19760935910479,45.0,47.14521664458893,45.53643724696356,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.3546037137589,32.05124175731721],[-111.3543368642775,32.05158284803306]]}",AOI1,2.28002466396055,"Arizo-Riverwash complex, 0 to 3 percent slopes",Flood plains,Mixed alluvium,A/C-C,Flood plains,Mixed alluvium,No Bt and/or Bk horizon,Short (≤ 50 m),Steep (> 2%),perpendicular
00000000000000000171,AZ669,75.0,6.8880945706008765,3049.0,64.3138620007046,Intact,53807,30,TCD,,71.9303533218,,Berm,-180.0,-90.00000000000001,76.38153301922877,791.70360491856,1.0,0.3228746554443924,0.0335046264847174,0.5716505619711763,0.7522460970711577,0.9993163388901146,0,-0.2898251420094628,-0.0862241318591367,00000000000000000171,0,32.050266611866256,-111.35618542073844,77.08467765517933,791.2796959687722,772.6947883275184,0.095654370894391,0.0976365195844848,0.1020415834621502,-3.377608529078316,-1.1388968331473848,1.6950683593749245,3.377608529078316,1.1388968331473848,0.5055718311880734,3.377608529078316,1.1388968331473848,21.0,28.94095434260213,23.403756802009205,23.078449469312417,48.0,43.03690353587368,46.876553125436,46.70096908167975,1.0,1.0,1.0,1.0,790.0071754210327,791.2714935557756,"{""type"":""LineString"",""coordinates"":[[-111.3560710278815,32.0499613522507],[-111.35621424246305,32.05028338162932],[-111.3562517251037,32.05045792680659],[-111.356220645419,32.050578926029495]]}","Glendale silt loam, 0 to 3 percent slopes",low,Stream terraces,Mixed alluvium,A-C,Silt loam,20.0,11.4,68.6,Intact,0.019424911127815195,1.9424911127815196,Long (> 50 m),Steep (> 2%),No B horizon,False,No vegetation response,False,True,Upland,0.105008850484186,21.0,28.94095434260213,23.6938865005784,23.07844946931241,48.0,43.03690353587368,46.83180982964482,46.70096908167975,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.3560710278815,32.0499613522507],[-111.35621424246305,32.05028338162932],[-111.3562517251037,32.05045792680659],[-111.356220645419,32.050578926029495]]}",AOI1,-1.239879597593497,"Glendale silt loam, 0 to 3 percent slopes",Stream terraces,Mixed alluvium,A-C,Stream terraces,Mixed alluvium,No Bt and/or Bk horizon,Long (> 50 m),Steep (> 2%),perpendicular
00000000000000000176,AZ669,47.0,12.955333188311212,84.0,12.89712342035907,Intact,53897,80,TCD,,29.7021782517,,Berm,-180.0,-180.0,-22.493767839583448,823.8824707428872,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0316705707575203,-0.3994560317992657,00000000000000000176,0,32.024781253115464,-111.4007703060538,114.55842928869733,820.7639770507812,133.31509880469025,0.1241185396768722,0.1212438189425637,0.1234709127479942,-0.957064309815678,-0.7757415771484375,0.3906662011259717,0.957064309815678,0.7757415771484375,0.5228015248125454,0.957064309815678,0.7757415771484375,23.0,23.0,22.95817611011235,23.0,52.0,52.0,49.149435042678746,52.0,1.0,1.0,1.0,1.0,820.3224513057248,820.658157486794,"{""type"":""LineString"",""coordinates"":[[-111.40091197848795,32.024722588408565],[-111.40062863343816,32.024839917664856]]}",,,Flood plains,,A1-Bt-A2-2Btk,Loam,17.5,43.0,39.5,Intact,-0.023282574578320676,-2.3282574578320676,Short (≤ 50 m),Shallow (≤ 2%),B horizon,False,No vegetation response,False,True,Upland,0.128412169111537,23.0,23.0,22.855709883176985,23.0,52.0,52.0,49.07362107519045,52.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.40091197848795,32.024722588408565],[-111.40062863343816,32.024839917664856]]}",AOI1,-1.383302408434126,"Tubac complex, 0 to 2 percent slopes",Basin floors,Mixed alluvium,A1-A2-Bt-2Btk,Fan terraces,Mixed alluvium,Bt and/or Bk horizon,Short (≤ 50 m),Shallow (≤ 2%),perpendicular
00000000000000000177,AZ669,118.0,26.412801402893464,156.0,21.906814284273175,Intact,53897,80,TCD,,16.3563736816,,Berm,-158.53713607788086,-130.29235076904297,-28.90520211143724,822.8956345515463,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.2166542485419762,-0.17714200371899,00000000000000000177,0,32.02364880883806,-111.4005971666953,114.24693227421274,821.7529907226562,156.30136483609533,0.1231406514780643,0.1125616213255431,0.1225113965253361,-0.61004638671875,-0.6315102726585451,0.198092990451452,0.61004638671875,0.6315102726585451,0.1788539987393278,0.61004638671875,0.6315102726585451,21.020479812756,21.0,22.680907718426983,21.0,50.020479812756015,50.0,49.423086707184176,50.0,1.0,1.0,1.0,1.0,821.2945098876953,821.5955113002232,"{""type"":""LineString"",""coordinates"":[[-111.40067058161938,32.02360827288623],[-111.40052375170625,32.0236893447476]]}",,,Flood plains,,A1-Bt-A2-2Btk,Loam,17.5,43.0,39.5,Intact,-0.08635139629914675,-8.635139629914674,Short (≤ 50 m),Shallow (≤ 2%),B horizon,False,No vegetation response,False,True,Upland,0.127444875904232,21.020479812756,21.0,22.49396710117911,21.0,50.020479812756015,50.0,49.408200204294985,50.0,1.0,1.0,1.0,"{""type"":""LineString"",""coordinates"":[[-111.40067058161938,32.02360827288623],[-111.40052375170625,32.0236893447476]]}",AOI1,4.096865624253565,"Tubac complex, 0 to 2 percent slopes",Basin floors,Mixed alluvium,A1-A2-Bt-2Btk,Fan terraces,Mixed alluvium,Bt and/or Bk horizon,Short (≤ 50 m),Shallow (≤ 2%),perpendicular
