predictor,mcfadden_r2,tjur_r2,cv_auc,lrt_p
Berm length,0.038,0.051,0.661,0.0
Flow accumulation (30 m),0.008,0.012,0.66,0.005
Typical soil profile,0.072,0.091,0.629,0.0
Soil texture,0.031,0.041,0.596,0.0
"Clay content (r-horizon, %)",0.013,0.017,0.579,0.0
"Sand content (r-horizon, %)",0.012,0.017,0.562,0.0
Parent material,0.029,0.04,0.548,0.0
"Silt content (r-horizon, %)",0.008,0.01,0.547,0.006
Soil development,0.005,0.006,0.539,0.031
Landform,0.004,0.005,0.538,0.16
Hillslope gradient (100 m),0.0,0.0,0.484,0.917
