predictor,type,n,mcfadden_r2,tjur_r2,cv_auc,lrt_p
slope_100,numeric,743,0.013867154781099345,0.019498550165042927,0.6107068049321571,0.00015939544982865265
ParentMaterial,categorical,621,0.025057457836702324,0.034236635191075226,0.584937752081707,8.053120682236992e-05
TypicalProfile,categorical,743,0.048637827294604086,0.06230113238212309,0.5767014909972656,4.2117843328960196e-05
claytotal_r,numeric,743,0.011556320876656034,0.01593142029487865,0.5744804725790642,0.0005668202993468913
Texture,categorical,743,0.02686778167367987,0.0368558311104078,0.5731014290873446,0.000257113478472889
Landform,categorical,743,0.014500971048470146,0.019978554830673956,0.5634133003147086,0.0005786825626793375
Soil_Development,categorical,743,0.009346868549408804,0.012924295622223025,0.5550152195222617,0.0019349937982819417
FA_30_max,numeric,743,0.007735041724707625,0.01010547341436202,0.5334117525666822,0.004800867851551101
sandtotal_r,numeric,743,0.00223048645024837,0.0030980378696865984,0.5107916731156168,0.12993115494249166
silttotal_r,numeric,743,3.294963721300892e-05,4.582842573047641e-05,0.47741345508951144,0.853966689344403
Shape_Leng,numeric,743,0.0002677206852584879,0.00036744652696196756,0.47635814889336014,0.5998227648605344
