predictor,mcfadden_r2,tjur_r2,cv_auc,lrt_p
Hillslope gradient (100 m),0.014,0.019,0.611,0.0
Parent material,0.025,0.034,0.585,0.0
Typical soil profile,0.049,0.062,0.577,0.0
"Clay content (r-horizon, %)",0.012,0.016,0.574,0.001
Soil texture,0.027,0.037,0.573,0.0
Landform,0.015,0.02,0.563,0.001
Soil development,0.009,0.013,0.555,0.002
Flow accumulation (30 m),0.008,0.01,0.533,0.005
"Sand content (r-horizon, %)",0.002,0.003,0.511,0.13
"Silt content (r-horizon, %)",0.0,0.0,0.477,0.854
Berm length,0.0,0.0,0.476,0.6
